"x";"y"
0.34383248756271934;1.0
0.6876649751254387;2.0
1.031497462688158;3.0
1.3753299502508773;4.0
1.7191624378135968;5.0
2.0630293086250724;6.0
2.407171245426598;7.0
2.7570895680191776;8.0
3.119489009910284;9.0
3.4850860939357236;10.0
3.8509238607024567;11.0
4.220440635086112;12.0
4.59074822419116;13.0
4.975324861530062;14.0
5.362170793286878;15.0
5.751939301187977;16.0
6.155564258337853;17.0
6.561252210413106;18.0
6.973851195488369;19.0
7.3864501805636325;20.0
7.8183725514399205;21.0
8.257068422321193;22.0
8.697139623152719;23.0
9.144121856984254;24.0
9.592548187263553;25.0
10.060160370348852;26.0
10.541525852936658;27.0
11.024025982733422;28.0
11.522583089699365;29.0
12.03080188956582;30.0
12.546516237661143;31.0
13.062264969005222;32.0
13.5780137003493;33.0
14.09376243169338;34.0
14.63512668336088;35.0
15.185258663461232;36.0
15.738897734934723;37.0
16.306186956164453;38.0
16.889120555578288;39.0
17.470197459559284;40.0
18.120831675774216;41.0
18.772153556964277;42.0
19.43966994831854;43.0
20.127609989434028;44.0
20.846391804683893;45.0
21.59402116564027;46.0
22.350658937770792;47.0
23.111422699752065;48.0
23.935382872947365;49.0
24.76058084309789;50.0
25.619474397029563;51.0
26.488407859598066;52.0
27.358338436380503;53.0
28.230882140068417;54.0
29.10431980822399;55.0
29.97792939262335;56.0
30.854324020171966;57.0
31.732816025894714;58.0
32.63417289204038;59.0
33.53993081402685;60.0
34.46484020557057;61.0
35.39686692960683;62.0
36.34869840492671;63.0
37.304862169589875;64.0
38.26181674897443;65.0
39.22973958471224;66.0
40.228710494076964;67.0
41.25236857604869;68.0
42.28757942960252;69.0
43.32722572224592;70.0
44.36700954788434;71.0
45.432890259328765;72.0
46.54996762817128;73.0
47.705347936128284;74.0
48.86182850804549;75.0
50.02267575255475;76.0
51.226089459024266;77.0
52.43734254621021;78.0
53.650830544565316;79.0
54.88178523328861;80.0
56.1195821885144;81.0
57.49491213876528;82.0
59.00811891652881;83.0
60.550688988730194;84.0
62.09446247463805;85.0
63.64163990217278;86.0
65.26820825108574;87.0
67.09052043516814;88.0
68.94308987815607;89.0
70.7970002678455;90.0
73.07430598271966;91.0
75.35168046409133;92.0
77.63397175003514;93.0
79.91880739638692;94.0
82.30397336260951;95.0
85.05315478341474;96.0
87.83819793267277;97.0
91.11657193508579;98.0
94.87132584901696;99.0
99.99999999999999;100.0
